signal,version,IS_n,IS_mean,IS_t,IS_sr,OOS_n,OOS_mean,OOS_t,OOS_sr,POST_n,POST_mean,POST_t,POST_sr,P2015_n,P2015_mean,P2015_t,P2015_sr,IS_skew,IS_worst,IS_worst_z,IS_maxdd_pp,Year,SampleStartYear,SampleEndYear,Cat.Data,Cat.Economic,mech,mech_reason,data_src,Portfolio Period,Stock Weight,Return,T-Stat,Predictability in OP,LongDescription,q5_ew__IS_mean,q5_ew__IS_t,q5_ew__IS_sr,q5_ew__OOS_mean,q5_ew__OOS_t,q5_ew__OOS_sr,q5_ew__POST_mean,q5_ew__POST_t,q5_ew__POST_sr,q5_ew__P2015_mean,q5_ew__P2015_t,q5_ew__P2015_sr,q5_vw__IS_mean,q5_vw__IS_t,q5_vw__IS_sr,q5_vw__OOS_mean,q5_vw__OOS_t,q5_vw__OOS_sr,q5_vw__POST_mean,q5_vw__POST_t,q5_vw__POST_sr,q5_vw__P2015_mean,q5_vw__P2015_t,q5_vw__P2015_sr,me_gt_nyse20__IS_mean,me_gt_nyse20__IS_t,me_gt_nyse20__IS_sr,me_gt_nyse20__OOS_mean,me_gt_nyse20__OOS_t,me_gt_nyse20__OOS_sr,me_gt_nyse20__POST_mean,me_gt_nyse20__POST_t,me_gt_nyse20__POST_sr,me_gt_nyse20__P2015_mean,me_gt_nyse20__P2015_t,me_gt_nyse20__P2015_sr,nyse_only__IS_mean,nyse_only__IS_t,nyse_only__IS_sr,nyse_only__OOS_mean,nyse_only__OOS_t,nyse_only__OOS_sr,nyse_only__POST_mean,nyse_only__POST_t,nyse_only__POST_sr,nyse_only__P2015_mean,nyse_only__P2015_t,nyse_only__P2015_sr,op_OOS_ratio,op_POST_ratio,op_P2015_ratio,q5_ew_OOS_ratio,q5_ew_POST_ratio,q5_ew_P2015_ratio,q5_vw_OOS_ratio,q5_vw_POST_ratio,q5_vw_P2015_ratio,me_gt_nyse20_OOS_ratio,me_gt_nyse20_POST_ratio,me_gt_nyse20_P2015_ratio,smallcap_share_screen,smallcap_share_vw,monthly_rebal,op_OOS_ratio_c,op_POST_ratio_c,op_P2015_ratio_c,q5_ew_OOS_ratio_c,q5_ew_POST_ratio_c,q5_ew_P2015_ratio_c,q5_vw_OOS_ratio_c,q5_vw_POST_ratio_c,q5_vw_P2015_ratio_c,me_gt_nyse20_OOS_ratio_c,me_gt_nyse20_POST_ratio_c,me_gt_nyse20_P2015_ratio_c,alive_2015,alive_2015_big,sc_terc,skew_terc,pub_era
ChangeInRecommendation,op,61,1.0486,6.6337,2.9423,72,1.0439,5.8242,2.3777,240,0.2558,2.7182,0.6078,120,0.2464,1.5418,0.4875,0.2256,-1.4659,-2.0367,-2.8511,2004,1985,1998,Analyst,recommendation,M4,rule: Cat.Economic=recommendation,analyst,1.0000,EW,0.2250,,1_clear,Change in recommendation,1.0486,6.6337,2.9423,1.0439,5.8242,2.3777,0.2558,2.7182,0.6078,0.2464,1.5418,0.4875,0.1857,0.9438,0.4186,0.6464,1.9711,0.8047,0.0356,0.3011,0.0673,0.0322,0.1651,0.0522,0.7817,4.7231,2.0949,0.7313,4.5414,1.8540,0.1133,1.3745,0.3074,0.1320,0.9724,0.3075,0.5991,4.1362,1.8345,0.5002,3.1305,1.2780,0.0622,0.5881,0.1315,-0.0355,-0.2148,-0.0679,0.9956,0.2439,0.2349,0.9956,0.2439,0.2349,3.4804,0.1915,0.1731,0.9355,0.1449,0.1688,0.2546,0.8229,1,0.9956,0.2439,0.2349,0.9956,0.2439,0.2349,2.5000,0.1915,0.1731,0.9355,0.1449,0.1688,1,0,mid,mid,1996-2005
ChAssetTurnover,op,228,0.2909,3.7084,0.8508,72,0.0982,0.7913,0.3230,192,0.0455,0.5108,0.1277,120,0.0665,0.5458,0.1726,-0.0676,-5.0536,-4.5125,-7.1039,2008,1984,2002,Accounting,sales growth,M4,rule: Cat.Economic=sales growth,accounting,12.0000,EW,,5.1200,1_clear,Change in Asset Turnover,0.2909,3.7084,0.8508,0.0982,0.7913,0.3230,0.0455,0.5108,0.1277,0.0665,0.5458,0.1726,0.3437,2.3439,0.5377,0.1381,0.5891,0.2405,-0.1051,-0.7149,-0.1787,-0.1273,-0.6283,-0.1987,0.2856,2.9815,0.6840,0.0339,0.2310,0.0943,0.0508,0.5356,0.1339,0.1236,0.9736,0.3079,0.3150,3.1402,0.7204,0.2440,1.6058,0.6555,-0.0164,-0.1366,-0.0341,-0.0590,-0.3736,-0.1181,0.3375,0.1563,0.2285,0.3375,0.1563,0.2285,0.4019,-0.3056,-0.3702,0.1186,0.1780,0.4326,0.0181,-0.1818,0,0.3375,0.1563,0.2285,0.3375,0.1563,0.2285,0.4019,-0.3056,-0.3702,0.1186,0.1780,0.4326,0,0,low (big-cap ok),mid,2006-2010
ChEQ,op,528,0.5624,4.2598,0.6422,36,0.6885,1.3050,0.7534,168,0.4059,1.9653,0.5253,120,0.4805,1.7818,0.5634,1.3634,-7.2641,-2.5797,-28.0628,2010,1964,2007,Accounting,investment,M6,rule: Cat.Economic=investment,accounting,12.0000,EW,0.8000,5.3800,1_clear,Growth in book equity,0.5624,4.2598,0.6422,0.6885,1.3050,0.7534,0.4059,1.9653,0.5253,0.4805,1.7818,0.5634,0.2907,2.1301,0.3211,0.6448,1.5576,0.8993,0.1448,0.7132,0.1906,0.1288,0.4795,0.1516,0.3849,3.4941,0.5267,0.6727,1.8049,1.0421,0.2870,1.7186,0.4593,0.3203,1.4378,0.4547,0.2362,2.3770,0.3583,1.0409,1.6280,0.9399,0.2431,1.1440,0.3057,0.3366,1.1813,0.3736,1.2241,0.7216,0.8544,1.2241,0.7216,0.8544,2.2184,0.4981,0.4432,1.7478,0.7457,0.8323,0.3157,0.4832,0,1.2241,0.7216,0.8544,1.2241,0.7216,0.8544,2.2184,0.4981,0.4432,1.7478,0.7457,0.8323,1,0,mid,pos skew,2006-2010
ChForecastAccrual,op,192,0.3706,4.4761,1.1190,96,0.1185,0.7402,0.2617,240,0.1020,1.2170,0.2721,120,0.0750,0.6244,0.1975,0.1517,-2.1426,-2.1907,-7.3674,2004,1981,1996,Analyst,earnings forecast,M4,rule: Cat.Economic=earnings forecast,analyst,12.0000,EW,2.3750,,1_clear,Change in Forecast and Accrual,,,,,,,,,,,,,,,,,,,,,,,,,0.3344,4.0749,1.0187,0.1151,0.8697,0.3075,-0.0012,-0.0141,-0.0032,-0.0178,-0.1545,-0.0489,0.3272,3.5199,0.8800,0.0962,0.5486,0.1940,-0.0248,-0.2405,-0.0538,-0.0390,-0.2415,-0.0764,0.3198,0.2753,0.2025,,,,,,,0.3442,-0.0035,-0.0534,0.0977,,0,0.3198,0.2753,0.2025,,,,,,,0.3442,-0.0035,-0.0534,0,0,low (big-cap ok),mid,1996-2005
ChInv,op,336,0.7904,6.4842,1.2254,60,1.1130,2.8411,1.2706,264,0.2500,2.1239,0.4528,120,0.1930,1.0671,0.3375,1.0082,-6.5129,-3.2687,-14.4417,2002,1970,1997,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,12.0000,EW,0.9492,,1_clear,Inventory Growth,0.5420,5.8702,1.1094,0.7943,3.1411,1.4047,0.1688,1.8385,0.3920,0.1098,0.7774,0.2458,0.3733,2.7393,0.5177,1.0848,2.2436,1.0034,-0.0083,-0.0574,-0.0122,-0.2517,-1.0135,-0.3205,0.5102,4.5457,0.8591,0.8641,2.6310,1.1766,0.0136,0.1182,0.0252,-0.0634,-0.3423,-0.1082,0.5024,3.9467,0.7459,0.1206,0.4325,0.1934,0.0880,0.6191,0.1320,0.0758,0.3514,0.1111,1.4082,0.3163,0.2442,1.4656,0.3114,0.2026,2.9059,-0.0223,-0.6743,1.6936,0.0267,-0.1243,0.3545,0.3112,0,1.4082,0.3163,0.2442,1.4656,0.3114,0.2026,2.5000,-0.0223,-0.6743,1.6936,0.0267,-0.1243,0,0,mid,pos skew,1996-2005
ChInvIA,op,180,0.5017,5.5888,1.4430,120,0.4414,2.7279,0.8626,312,0.1788,1.4604,0.2864,120,-0.2223,-0.9698,-0.3067,0.8346,-3.1931,-3.0679,-4.1881,1998,1974,1988,Accounting,investment growth,M6,rule: Cat.Economic=investment growth,accounting,12.0000,EW,,2.9140,1_clear,Change in capital inv (ind adj),0.5017,5.5888,1.4430,0.4414,2.7279,0.8626,0.1788,1.4604,0.2864,-0.2223,-0.9698,-0.3067,0.1948,1.4170,0.3659,0.1926,1.0063,0.3182,0.2264,1.3286,0.2606,0.1065,0.4312,0.1364,0.2632,3.3650,0.8688,0.3011,2.6056,0.8240,0.1145,1.1415,0.2239,-0.2570,-1.4918,-0.4717,0.2197,2.1965,0.5671,0.2652,1.7568,0.5556,0.0612,0.4866,0.0954,-0.2724,-1.0664,-0.3372,0.8798,0.3564,-0.4431,0.8798,0.3564,-0.4431,0.9886,1.1620,0.5464,1.1442,0.4350,-0.9765,0.4754,0.6116,0,0.8798,0.3564,-0.4431,0.8798,0.3564,-0.4431,0.9886,1.1620,0.5464,1.1442,0.4350,-0.9765,0,0,high (microcap),pos skew,1996-2005
ChNAnalyst,op,284,0.5683,1.8300,0.3762,36,0.5294,1.3293,0.7675,192,0.1096,0.5250,0.1312,120,0.1778,0.6611,0.2091,-2.6903,-42.0065,-8.1345,-57.3241,2008,1982,2005,Analyst,earnings event,M4,rule: Cat.Economic=earnings event,analyst,1.0000,VW,0.4600,3.3400,1_clear,Decline in Analyst Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1929,-0.3881,-0.1276,-0.4787,-0.9176,-0.3370,1.7783,2.1309,0.4443,2.4112,2.2505,1.2993,0.2398,0.5902,0.1475,0.2832,0.5298,0.1675,0.9314,0.1929,0.3128,,,,,,,,,,,,1,0.9314,0.1929,0.3128,,,,,,,,,,0,0,,neg skew,2006-2010
ChNNCOA,op,228,0.3555,4.4584,1.0228,72,0.2119,1.9079,0.7789,192,-0.0882,-0.8850,-0.2212,120,-0.1769,-1.3436,-0.4249,-0.0465,-4.8204,-4.2993,-7.5529,2008,1984,2002,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,12.0000,EW,,5.2600,1_clear,Change in Net Noncurrent Op Assets,0.3555,4.4584,1.0228,0.2119,1.9079,0.7789,-0.0882,-0.8850,-0.2212,-0.1769,-1.3436,-0.4249,0.3180,2.4729,0.5673,0.3229,1.5609,0.6372,-0.0370,-0.2339,-0.0585,-0.1247,-0.5699,-0.1802,0.2640,3.3868,0.7770,0.2369,1.9769,0.8071,0.0830,0.9391,0.2348,0.0934,0.7761,0.2454,0.1711,1.9409,0.4453,0.1999,1.3600,0.5552,0.1981,1.9258,0.4815,0.1493,1.1027,0.3487,0.5961,-0.2480,-0.4977,0.5961,-0.2480,-0.4977,1.0152,-0.1165,-0.3922,0.8974,0.3145,0.3538,0.2573,0.1053,0,0.5961,-0.2480,-0.4977,0.5961,-0.2480,-0.4977,1.0152,-0.1165,-0.3922,0.8974,0.3145,0.3538,0,0,mid,mid,2006-2010
ChNWC,op,228,0.1532,2.6359,0.6047,72,-0.1930,-1.8827,-0.7686,192,0.0724,1.0152,0.2538,120,0.1769,1.8552,0.5867,-0.0796,-2.8819,-3.4588,-9.4137,2008,1984,2002,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,12.0000,EW,,4.6100,1_clear,Change in Net Working Capital,0.1532,2.6359,0.6047,-0.1930,-1.8827,-0.7686,0.0724,1.0152,0.2538,0.1769,1.8552,0.5867,0.3157,2.1950,0.5036,-0.3792,-1.8314,-0.7477,0.0964,0.7122,0.1780,0.0723,0.3996,0.1264,0.1081,1.6525,0.3791,-0.1946,-1.4714,-0.6007,0.0227,0.2919,0.0730,0.0855,0.8387,0.2652,0.1471,1.8950,0.4347,-0.0975,-0.7775,-0.3174,0.1625,1.5002,0.3751,0.1361,0.9468,0.2994,-1.2598,0.4725,1.1546,-1.2598,0.4725,1.1546,-1.2013,0.3054,0.2290,-1.7993,0.2103,0.7911,0.2941,-1.0607,0,-1.2598,0.4725,1.1546,-1.2598,0.4725,1.1546,-1.2013,0.3054,0.2290,-1.5000,0.2103,0.7911,1,0,mid,mid,2006-2010
ChTax,op,360,1.0548,9.1206,1.6652,60,0.3612,1.1929,0.5335,156,0.4255,2.7500,0.7627,120,0.3018,1.5653,0.4950,0.0238,-6.4818,-3.4347,-18.8910,2011,1977,2006,Accounting,other,M4,tax expense surprise,accounting,3.0000,EW,1.3000,11.2600,1_clear,Change in Taxes,0.8843,9.6176,1.7559,0.2886,1.0483,0.4688,0.3225,2.7299,0.7571,0.2868,1.9543,0.6180,0.2849,1.8929,0.3456,0.1207,0.4628,0.2070,0.0469,0.2831,0.0785,0.0788,0.3916,0.1238,0.4932,3.4208,0.6246,-0.0304,-0.0971,-0.0434,0.2982,1.7751,0.4923,0.2135,1.0153,0.3211,0.4962,3.9310,0.7177,0.4428,1.0501,0.4696,0.2692,1.2266,0.3402,0.1060,0.3839,0.1214,0.3424,0.4034,0.2861,0.3264,0.3647,0.3243,0.4237,0.1646,0.2765,-0.0616,0.6046,0.4328,0.5324,0.6778,0,0.3424,0.4034,0.2861,0.3264,0.3647,0.3243,0.4237,0.1646,0.2765,-0.0616,0.6046,0.4328,1,0,high (microcap),mid,2011-2016
CitationsRD,op,324,0.2064,2.2235,0.4279,60,0.1275,0.5143,0.2300,132,0.0619,0.2988,0.0901,120,0.0513,0.2291,0.0725,-0.0400,-4.7216,-2.9497,-31.4098,2013,1982,2008,Other,profitability alt,M1,patent citation data,alt_other,12.0000,VW,0.2600,2.6000,1_clear,Citations to RD expenses,,,,,,,,,,,,,,,,,,,,,,,,,0.1675,1.6453,0.3166,0.1252,0.4909,0.2196,0.0531,0.2588,0.0780,0.0435,0.1968,0.0622,0.1465,1.2865,0.2476,-0.1568,-0.5356,-0.2395,0.1157,0.6036,0.1820,0.1145,0.5741,0.1816,0.6176,0.3001,0.2486,,,,,,,0.7477,0.3172,0.2596,0.1884,,0,0.6176,0.3001,0.2486,,,,,,,0.7477,0.3172,0.2596,0,0,mid,mid,2011-2016
CompEquIss,op,432,0.2355,2.2157,0.3693,36,0.4863,2.2860,1.3199,216,0.3428,2.2537,0.5312,120,0.3087,1.4905,0.4713,-0.2813,-8.9094,-4.1402,-25.8236,2006,1968,2003,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,1.0000,EW,,4.3900,1_clear,Composite equity issuance,0.2355,2.2157,0.3693,0.4863,2.2860,1.3199,0.3428,2.2537,0.5312,0.3087,1.4905,0.4713,0.2189,1.2896,0.2149,0.5328,1.6052,0.9268,0.5738,2.4136,0.5689,0.5812,1.7440,0.5515,0.2641,2.1080,0.3513,0.4283,1.9283,1.1133,0.3783,2.0451,0.4820,0.2340,0.9737,0.3079,0.3209,2.2773,0.3796,0.1115,0.4898,0.2828,0.6656,2.4123,0.5686,0.4008,1.4171,0.4481,2.0654,1.4558,1.3111,2.0654,1.4558,1.3111,2.4342,2.6214,2.6552,1.6218,1.4324,0.8861,-0.1215,0.0704,1,2.0654,1.4558,1.3111,2.0654,1.4558,1.3111,2.4342,2.5000,2.5000,1.6218,1.4324,0.8861,0,0,low (big-cap ok),neg skew,2006-2010
CompositeDebtIssuance,op,432,0.3156,5.5839,0.9306,36,0.3603,2.0605,1.1896,192,0.2213,2.1820,0.5455,120,0.1895,1.2587,0.3980,-0.4514,-5.1442,-4.6478,-12.0313,2008,1970,2005,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,12.0000,EW,0.5230,8.5900,1_clear,Composite debt issuance,0.4092,6.1066,1.0178,0.3842,1.9702,1.1375,0.2455,2.0658,0.5165,0.2837,1.5914,0.5032,0.0692,0.6760,0.1127,0.2950,0.6932,0.4002,-0.2224,-1.0287,-0.2572,-0.3730,-1.1291,-0.3570,0.2032,3.4960,0.5827,0.3453,2.0364,1.1757,0.0388,0.3665,0.0916,0.0093,0.0606,0.0192,0.2163,3.5906,0.5984,0.5168,2.7388,1.5813,0.0966,0.8696,0.2174,-0.0056,-0.0356,-0.0113,1.1416,0.7013,0.6006,0.9389,0.5999,0.6933,4.2640,-3.2150,-5.3921,1.6989,0.1908,0.0456,0.3560,0.8310,0,1.1416,0.7013,0.6006,0.9389,0.5999,0.6933,2.5000,-1.5000,-1.5000,1.6989,0.1908,0.0456,0,0,mid,neg skew,2006-2010
ConvDebt,op,336,0.3819,4.3164,0.8157,48,0.5140,2.3942,1.1971,96,0.2979,1.4521,0.5134,120,0.4031,2.2844,0.7224,-0.2581,-6.4646,-4.2215,-22.2300,2016,1985,2012,Accounting,external financing,M4,rule: Cat.Economic=external financing,accounting,1.0000,EW,,4.5000,1_clear,Convertible debt indicator,,,,,,,,,,,,,,,,,,,,,,,,,0.1705,1.9214,0.3631,0.0330,0.1544,0.0772,0.1799,0.9070,0.3207,0.1933,1.1223,0.3549,0.1500,1.7036,0.3220,0.5632,2.7217,1.3609,0.3243,1.3389,0.4734,0.4359,2.1188,0.6700,1.3460,0.7800,1.0555,,,,,,,0.1933,1.0556,1.1339,0.5537,,1,1.3460,0.7800,1.0555,,,,,,,0.1933,1.0556,1.1339,1,0,high (microcap),neg skew,2011-2016
CoskewACX,op,468,0.2976,2.8821,0.4615,60,0.7719,2.8312,1.2661,216,0.2825,1.1497,0.2710,120,0.1788,0.6043,0.1911,0.2191,-7.7778,-3.6155,-25.0745,2006,1963,2001,Price,risk,M6,rule: Cat.Economic=risk,price,1.0000,EW,0.2800,2.7600,1_clear,Coskewness using daily returns,0.2976,2.8821,0.4615,0.7719,2.8312,1.2661,0.2825,1.1497,0.2710,0.1788,0.6043,0.1911,0.1677,1.2904,0.2066,0.8398,2.2160,0.9910,-0.0127,-0.0494,-0.0116,0.0959,0.3216,0.1017,0.2121,1.6220,0.2597,0.5116,1.6462,0.7362,0.3902,2.0097,0.4737,0.3809,1.6145,0.5105,0.2435,2.3964,0.3837,0.2816,1.0252,0.4585,0.3253,1.4229,0.3354,0.0773,0.2879,0.0910,2.5940,0.9494,0.6010,2.5940,0.9494,0.6010,5.0084,-0.0755,0.5717,2.4125,1.8399,1.7959,0.2873,0.4365,1,2.5000,0.9494,0.6010,2.5000,0.9494,0.6010,2.5000,-0.0755,0.5717,2.4125,1.8399,1.7959,0,1,mid,mid,2006-2010
CPVolSpread,op,107,0.9770,3.1646,1.0598,60,0.5075,1.7469,0.7813,157,0.4629,3.2477,0.8979,97,0.3126,1.6151,0.5681,-0.5826,-12.8691,-4.3359,-26.4014,2009,1996,2004,Options,optionrisk,M1,options,options,1.0000,VW,1.0450,4.2000,1_clear,Call minus Put Vol,0.9770,3.1646,1.0598,0.5075,1.7469,0.7813,0.4629,3.2477,0.8979,0.3126,1.6151,0.5681,0.9770,3.1646,1.0598,0.5075,1.7469,0.7813,0.4629,3.2477,0.8979,0.3126,1.6151,0.5681,0.9786,3.3318,1.1158,0.4207,1.6416,0.7341,0.3691,2.9256,0.8088,0.2116,1.2087,0.4251,0.7167,2.9485,0.9874,0.2489,0.9393,0.4201,0.3308,2.2381,0.6187,0.2238,1.1042,0.3884,0.5194,0.4738,0.3200,0.5194,0.4738,0.3200,0.5194,0.4738,0.3200,0.4299,0.3772,0.2162,-0.0017,0.0000,1,0.5194,0.4738,0.3200,0.5194,0.4738,0.3200,0.5194,0.4738,0.3200,0.4299,0.3772,0.2162,1,0,low (big-cap ok),neg skew,2006-2010
dVolCall,op,190,0.8752,2.8860,0.7253,36,-0.1831,-0.7126,-0.4114,97,0.5943,2.4089,0.8473,97,0.5943,2.4089,0.8473,0.9824,-16.2754,-4.1030,-22.8512,2014,1996,2011,Options,informed trading,M1,options,options,1.0000,EW,1.0900,3.4500,1_clear,Change in call vol,0.7753,3.0270,0.7607,-0.0938,-0.5038,-0.2909,0.5488,2.7263,0.9589,0.5488,2.7263,0.9589,0.6776,1.9992,0.5024,-0.4402,-1.2366,-0.7139,0.4287,1.2837,0.4515,0.4287,1.2837,0.4515,0.7138,2.2748,0.5717,-0.2513,-0.8838,-0.5103,0.5891,2.2850,0.8037,0.5891,2.2850,0.8037,0.6237,2.6812,0.6738,-0.4935,-1.4173,-0.8183,0.4440,1.3665,0.4806,0.4440,1.3665,0.4806,-0.2092,0.6790,0.6790,-0.1210,0.7079,0.7079,-0.6497,0.6327,0.6327,-0.3521,0.8253,0.8253,0.1844,0.1260,1,-0.2092,0.6790,0.6790,-0.1210,0.7079,0.7079,-0.6497,0.6327,0.6327,-0.3521,0.8253,0.8253,1,1,mid,pos skew,2011-2016
dVolPut,op,190,0.3846,1.3135,0.3301,36,0.3283,1.0693,0.6173,97,0.2274,0.9684,0.3406,97,0.2274,0.9684,0.3406,0.5530,-16.6255,-4.2143,-46.8555,2014,1996,2011,Options,informed trading,M1,options,options,1.0000,EW,0.4200,2.0300,2_likely,Change in put vol,0.1741,0.7095,0.1783,0.4981,1.9936,1.1510,0.0486,0.2615,0.0920,0.0486,0.2615,0.0920,0.0388,0.1190,0.0299,1.3314,3.4598,1.9975,-0.1055,-0.2965,-0.1043,-0.1055,-0.2965,-0.1043,0.4131,1.3455,0.3381,0.3337,0.9350,0.5398,-0.1243,-0.4513,-0.1587,-0.1243,-0.4513,-0.1587,0.3730,1.7002,0.4273,0.2662,0.6583,0.3801,0.1501,0.4824,0.1697,0.1501,0.4824,0.1697,0.8535,0.5913,0.5913,2.8615,0.2791,0.2791,34.3504,-2.7210,-2.7210,0.8078,-0.3010,-0.3010,-0.0740,0.7773,1,0.8535,0.5913,0.5913,2.5000,0.2791,0.2791,2.5000,-1.5000,-1.5000,0.8078,-0.3010,-0.3010,0,0,low (big-cap ok),pos skew,2011-2016
dCPVolSpread,op,190,1.3433,7.3908,1.8574,36,0.2080,0.9465,0.5465,97,0.6838,3.4127,1.2003,97,0.6838,3.4127,1.2003,1.2019,-5.5413,-2.7480,-7.8945,2014,1996,2011,Options,informed trading,M1,options,options,1.0000,EW,-1.6800,6.7700,1_clear,Change in put vol minus change in call vol,1.0471,7.7514,1.9480,0.3383,1.6272,0.9394,0.5258,3.6515,1.2843,0.5258,3.6515,1.2843,0.8265,4.6420,1.1666,0.3952,1.4329,0.8273,0.1761,0.9441,0.3321,0.1761,0.9441,0.3321,1.2444,6.7253,1.6901,0.0190,0.0788,0.0455,0.3808,2.0206,0.7107,0.3808,2.0206,0.7107,1.0671,6.5075,1.6354,0.0711,0.2765,0.1596,0.7075,2.6839,0.9440,0.7075,2.6839,0.9440,0.1548,0.5091,0.5091,0.3231,0.5022,0.5022,0.4781,0.2131,0.2131,0.0153,0.3060,0.3060,0.0737,0.2106,1,0.1548,0.5091,0.5091,0.3231,0.5022,0.5022,0.4781,0.2131,0.2131,0.0153,0.3060,0.3060,1,1,low (big-cap ok),pos skew,2011-2016
CredRatDG,op,156,0.4846,2.3185,0.6430,36,1.2142,1.5688,0.9058,276,0.2510,1.0249,0.2137,120,0.1308,0.3105,0.0982,-0.9076,-12.0929,-4.8183,-21.0192,2001,1986,1998,Analyst,other,M4,slow reaction to rating downgrades,analyst,1.0000,EW,1.3167,11.0400,1_clear,Credit Rating Downgrade,,,,,,,,,,,,,,,,,,,,,,,,,0.1304,0.8382,0.2325,-0.0101,-0.0127,-0.0073,-0.1228,-0.6007,-0.1252,-0.2495,-0.7374,-0.2332,0.2815,1.3611,0.3775,0.5108,0.7707,0.4450,0.3513,1.4628,0.3050,0.1968,0.4697,0.1485,2.5058,0.5180,0.2699,,,,,,,-0.0777,-0.9418,-1.9142,0.7310,,1,2.5000,0.5180,0.2699,,,,,,,-0.0777,-0.9418,-1.5000,0,0,high (microcap),neg skew,1996-2005
CustomerMomentum,op,300,1.0922,3.0810,0.6162,48,-0.1039,-0.1939,-0.0970,192,0.3936,1.5280,0.3820,120,0.2348,0.6612,0.2091,0.1136,-33.1262,-5.5730,-94.4914,2008,1980,2004,Other,lead lag,M5,rule: Cat.Economic=lead lag,alt_other,1.0000,VW,1.5780,3.7900,1_clear,Customer momentum,1.0922,3.0810,0.6162,-0.1039,-0.1939,-0.0970,0.3936,1.5280,0.3820,0.2348,0.6612,0.2091,1.0922,3.0810,0.6162,-0.1039,-0.1939,-0.0970,0.3936,1.5280,0.3820,0.2348,0.6612,0.2091,1.1493,3.1628,0.6326,-0.0893,-0.1649,-0.0825,0.4293,1.6585,0.4146,0.2846,0.8024,0.2537,1.0347,3.0375,0.6075,-0.0446,-0.0758,-0.0379,0.3965,1.3217,0.3304,0.2100,0.4980,0.1575,-0.0951,0.3604,0.2150,-0.0951,0.3604,0.2150,-0.0951,0.3604,0.2150,-0.0777,0.3735,0.2476,-0.0522,0.0000,1,-0.0951,0.3604,0.2150,-0.0951,0.3604,0.2150,-0.0951,0.3604,0.2150,-0.0777,0.3735,0.2476,0,0,low (big-cap ok),mid,2006-2010
DelBreadth,op,222,0.6833,3.6764,0.8548,48,1.6472,1.1293,0.5647,264,0.2989,1.4082,0.3002,120,0.5477,1.6456,0.5204,0.0382,-7.9337,-3.1118,-19.0387,2002,1979,1998,13F,ownership,M3,breadth of ownership = short-sale constraints (Chen-Hong-Stein),flows_holdings,3.0000,EW,0.6733,3.9600,1_clear,Breadth of ownership,0.5703,4.0583,0.9435,1.3918,1.1314,0.5657,0.1673,0.9988,0.2129,0.2595,0.9788,0.3095,0.1625,1.0284,0.2391,0.5899,0.5730,0.2865,0.1053,0.5980,0.1275,0.2826,0.9174,0.2901,0.6736,3.6343,0.8450,1.6325,1.1193,0.5596,0.2989,1.4082,0.3002,0.5477,1.6456,0.5204,0.3531,1.7748,0.4126,0.4112,0.4220,0.2110,0.1464,0.6388,0.1362,0.2526,0.7171,0.2268,2.4109,0.4374,0.8017,2.4403,0.2933,0.4550,3.6312,0.6484,1.7397,2.4234,0.4436,0.8131,0.0141,0.7151,0,2.4109,0.4374,0.8017,2.4403,0.2933,0.4550,2.5000,0.6484,1.7397,2.4234,0.4436,0.8131,1,1,low (big-cap ok),mid,1996-2005
DelCOA,op,480,0.5411,6.0771,0.9609,48,0.6701,2.0996,1.0498,228,0.1448,1.3395,0.3073,120,0.2211,1.3697,0.4331,-0.0538,-6.5796,-3.6500,-19.1267,2005,1962,2001,Accounting,investment alt,M6,rule: Cat.Economic=investment alt,accounting,12.0000,EW,,8.7100,1_clear,Change in current operating assets,0.5411,6.0771,0.9609,0.6701,2.0996,1.0498,0.1448,1.3395,0.3073,0.2211,1.3697,0.4331,0.2821,1.9503,0.3084,0.3606,0.9356,0.4678,-0.3910,-2.0927,-0.4801,-0.4173,-1.4542,-0.4599,0.3376,2.8938,0.4576,0.4247,1.5378,0.7689,-0.0270,-0.2161,-0.0496,0.0070,0.0372,0.0118,0.2371,2.7097,0.4284,0.1396,0.6392,0.3196,0.0278,0.2095,0.0481,0.1065,0.5837,0.1846,1.2383,0.2676,0.4086,1.2383,0.2676,0.4086,1.2785,-1.3861,-1.4796,1.2581,-0.0799,0.0207,0.3761,0.4788,0,1.2383,0.2676,0.4086,1.2383,0.2676,0.4086,1.2785,-1.3861,-1.4796,1.2581,-0.0799,0.0207,0,0,high (microcap),mid,1996-2005
