signal,Year,SampleEndYear,mech,data_src,cat_econ,pp,stock_weight,desc,t_ps,n_ps,mean_pub,n_pub,t_ps_lc,n_ps_lc,has_vw,c1_pub,c2_op_ps,c3_pub_pos,c4_lc_ps,selected,lc_version
AdExp,2001,1996,M6,accounting,R&D,12.0000,EW,Advertising Expense,2.3138,216,0.0065,156,1.3719,216,True,True,True,True,True,True,q5_vw
AgeIPO,1991,1987,M4,event,other,1.0000,EW,IPO and age,2.2864,324,0.0081,276,2.0447,324,True,True,True,True,True,True,q5_vw
AnalystValue,1998,1993,M6,analyst,valuation,12.0000,EW,Analyst Value,0.9697,252,0.0041,192,1.3690,252,True,True,False,True,True,False,q5_vw
AOP,1998,1993,M4,analyst,other,12.0000,EW,Analyst Optimism,0.2662,252,-0.0003,192,0.4849,252,True,True,False,False,False,False,q5_vw
Beta,1973,1968,M6,price,risk,1.0000,EW,CAPM beta,-0.0418,552,0.0022,492,-0.1030,552,True,True,False,True,False,False,q5_vw
BetaFP,2014,2012,M3,price,other,1.0000,EW,Frazzini-Pedersen Beta,0.0491,24,,0,0.7834,24,True,False,False,False,False,False,q5_vw
BidAskSpread,1986,1980,M3,volume,liquidity,1.0000,EW,Bid-ask spread,0.1803,408,0.0025,336,-1.0530,408,True,True,False,True,False,False,q5_vw
BrandInvest,2014,2010,M6,accounting,investment alt,12.0000,EW,Brand capital investment,-0.6802,48,,0,-0.1166,48,True,False,False,False,False,False,q5_vw
ConsRecomm,2001,1997,M4,analyst,recommendation,1.0000,VW,Consensus Recommendation,2.8646,204,0.0038,156,2.8366,204,False,True,True,True,True,True,me_gt_nyse20
Coskewness,2000,1993,M6,price,risk,1.0000,VW,Coskewness,0.2123,252,0.0009,168,0.8314,252,True,True,False,True,False,False,q5_vw
DebtIssuance,1999,1989,M4,accounting,external financing,1.0000,EW,Debt Issuance,4.7876,300,0.0020,180,1.7332,300,False,True,True,True,True,True,me_gt_nyse20
DelDRC,2013,2007,M6,accounting,investment alt,1.0000,EW,Deferred Revenue,-0.4652,84,0.0037,12,-0.2591,84,True,False,False,False,False,False,q5_vw
DownRecomm,2001,1997,M4,analyst,earnings forecast,1.0000,EW,Down forecast EPS,5.2984,204,0.0024,156,4.0319,204,False,True,True,True,True,True,me_gt_nyse20
FirmAge,1984,1980,M3,alt_other,info proxy,1.0000,EW,Firm age based on CRSP,-1.1255,408,-0.0010,360,-1.6520,408,True,True,False,False,False,False,q5_vw
FR,2006,2002,M4,accounting,composite accounting,12.0000,EW,Pension Funding Status,-1.9158,144,-0.0059,96,-2.0769,144,True,True,False,False,False,False,q5_vw
GrLTNOA,2003,1993,M6,accounting,investment,12.0000,EW,Growth in long term operating assets,1.4461,252,0.0008,132,0.2009,252,True,True,False,True,False,False,q5_vw
GrSaleToGrInv,1998,1988,M4,accounting,sales growth,12.0000,EW,Sales growth over inventory growth,2.7879,312,0.0011,192,1.5159,312,True,True,True,True,True,True,q5_vw
GrSaleToGrOverhead,1998,1988,M4,accounting,sales growth,12.0000,EW,Sales growth over overhead growth,-0.6971,312,-0.0016,192,-1.4143,312,True,True,False,False,False,False,q5_vw
HerfAsset,2006,2001,M6,alt_other,other,1.0000,EW,Industry concentration (assets),-2.0237,156,-0.0047,96,-2.2865,156,True,True,False,False,False,False,q5_vw
High52,2004,2001,M4,price,momentum,6.0000,EW,52 week high,-0.0760,156,0.0004,120,-0.0921,156,True,True,False,True,False,False,q5_vw
IO_ShortInterest,2005,2002,M1,flows_holdings,ownership,1.0000,EW,Inst own among high short interest,2.5269,144,0.0286,108,1.6101,144,True,True,True,True,True,True,q5_vw
MomOffSeason11YrPlus,2008,2002,M2,price,other,1.0000,EW,Off season reversal years 11 to 15,1.3088,144,0.0032,72,0.8067,144,True,True,False,True,False,False,q5_vw
MRreversal,1985,1980,M6,price,long term reversal,12.0000,EW,Medium-run reversal,2.0909,408,0.0044,348,1.5694,408,True,True,True,True,True,True,q5_vw
NumEarnIncrease,2012,2009,M4,accounting,earnings growth,1.0000,EW,Earnings streak length,3.1407,60,0.0038,24,2.1246,60,True,False,True,False,True,False,q5_vw
OperProf,2006,2003,M6,accounting,profitability,12.0000,EW,operating profits / book equity,3.0388,132,0.0052,96,2.5038,132,True,True,True,True,True,True,q5_vw
OperProfRD,2016,2014,M6,accounting,profitability,12.0000,VW,Operating profitability R&D adjusted,,0,,0,,0,True,False,False,False,False,False,q5_vw
OptionVolume2,2012,2010,M1,options,volume,1.0000,EW,Option volume to average,0.5344,48,-0.0014,24,1.1839,48,True,False,False,False,True,False,q5_vw
PredictedFE,1998,1993,M4,accounting,earnings forecast,12.0000,EW,Predicted Analyst forecast error,0.1756,252,0.0002,192,-0.0414,252,True,True,False,True,False,False,q5_vw
PriceDelaySlope,2005,2001,M5,price,lead lag,12.0000,EW,Price delay coeff,1.2618,156,0.0013,108,-0.3894,156,True,True,False,True,False,False,q5_vw
PriceDelayTstat,2005,2001,M5,price,lead lag,12.0000,EW,Price delay SE adjusted,1.2837,156,0.0013,108,-0.3064,156,True,True,False,True,False,False,q5_vw
ProbInformedTrading,2002,1998,M3,volume,liquidity,1.0000,EW,Probability of Informed Trading,0.8904,180,0.0037,132,-0.5257,167,True,True,False,True,False,False,q5_vw
realestate,2010,2005,M6,accounting,asset composition,12.0000,VW,Real estate holdings,0.5302,108,0.0028,48,0.7011,108,True,False,False,True,False,False,q5_vw
RoE,1996,1993,M6,accounting,profitability,12.0000,EW,net income / book equity,1.9172,252,0.0038,216,1.6836,252,True,True,False,True,True,False,q5_vw
ShareRepurchase,1995,1990,M4,accounting,payout indicator,12.0000,EW,Share repurchases,0.9559,288,0.0017,228,1.4728,288,False,True,False,True,True,False,me_gt_nyse20
ShortInterest,2001,1993,M3,volume,short sale constraints,1.0000,EW,Short Interest,3.8143,252,0.0100,156,3.1088,252,True,True,True,True,True,True,q5_vw
sinAlgo,2009,2006,M3,alt_other,other,1.0000,EW,Sin Stock (selection criteria),-0.4258,96,-0.0007,60,-0.4375,96,False,True,False,False,False,False,me_gt_nyse20
skew1,2010,2005,M1,options,optionrisk,1.0000,EW,Volatility smirk near the money,1.7044,108,0.0022,48,1.5881,108,True,False,False,True,True,False,q5_vw
SP,1996,1991,M6,accounting,valuation,12.0000,EW,Sales-to-price,3.7791,276,0.0090,216,2.2092,276,True,True,True,True,True,True,q5_vw
Spinoff,1993,1988,M2,event,other,1.0000,VW,Spinoffs,1.2399,312,0.0024,252,1.1769,312,False,True,False,True,True,False,me_gt_nyse20
UpRecomm,2001,1997,M4,analyst,earnings forecast,1.0000,EW,Up Forecast,5.2725,204,0.0018,156,4.0659,204,False,True,True,True,True,True,me_gt_nyse20
VarCF,1996,1993,M6,accounting,cash flow risk,12.0000,EW,Cash-flow  to price variance,-1.2254,252,-0.0050,216,-1.4734,252,True,True,False,False,False,False,q5_vw
VolMkt,1996,1993,M3,volume,volume,12.0000,EW,Volume to market equity,1.2318,252,0.0042,216,0.5331,252,True,True,False,True,False,False,q5_vw
VolumeTrend,1996,1993,M3,volume,volume,12.0000,EW,Volume Trend,4.9801,252,0.0080,216,2.2779,252,True,True,True,True,True,True,q5_vw
